SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE,LOGPVALUE
DIS3L2,SLC25A2,0.002025138772758,0.9550265629041816,0.0199845488746031
DIS3L2,SLC25A29,-0.00209789784606,0.9534125618674276,0.0207191302422411
DIS3L2,SLC25A47,0.0019920318632195,0.9557610286757952,0.019650681888159
DIS3L2,SLC25A6,-0.0045348665744067,0.8995049658445897,0.0459964347276012
DIS3L2,SLC26A6,-0.0040598807883935,0.9099835986503,0.0409664352391943
DIS3L2,SLC27A4,-0.0036621698233541,0.9187695911531608,0.0367933872394508
DIS3L2,SLC35F3,-0.0016159723534609,0.9641062647979032,0.0158750950682335
DIS3L2,SLC35F5,0.0022081738677517,0.950966694976948,0.0218346927797392
DIS3L2,SLC35F6,5.042432754693445e-05,0.9988796054683798,0.0004868539478445
DIS3L2,SLC38A8,0.0019100284016762,0.9575804083091636,0.0188247479924786
DIS3L2,SLC38A9,0.0028975778742071,0.9356874170954796,0.0288692107740682
DIS3L2,SLC39A3,0.0041303102624315,0.9084288262373378,0.0417090932136627
DIS3L2,SLC45A4,0.0002595893176683,0.9942321487803756,0.0025121979339122
DIS3L2,SLC48A1,0.0006594207273107,0.9853489334510696,0.0064099491598464
DIS3L2,SLC5A11,-0.0041039081522175,0.9090116277830071,0.0414305613878252
DIS3L2,SLC5A3,0.0039965123180669,0.9113827894997344,0.0402991768681947
DIS3L2,SLC6A13,-0.0015143377840792,0.9663623764399134,0.0148599868589216
DIS3L2,SLC6A5,-0.0002653363624726,0.9941044566854086,0.0025679792057055
DIS3L2,SLC6A9,0.0019088528195538,0.9576064921292046,0.0188129182759023
DIS3L2,SLC7A8,-0.0029140482507282,0.9353226502412444,0.029038548434777
DIS3L2,SLC9A2,-0.0026404896570969,0.941382808233254,0.0262337371507359
DIS3L2,SLC9A3,-0.0015826778460092,0.9648453145655428,0.0155423078121129
DIS3L2,SLFN12L,0.0040289934331963,0.9106655642404046,0.0406410854546024
DIS3L2,SLIT2,0.0013127911112727,0.970837141485539,0.0128536171426732
DIS3L2,SLITRK6,0.0037884104497975,0.9159796345706954,0.0381141821093231
DIS3L2,SMAD1,-0.0029015041795378,0.9356004605990303,0.0289095730583013
DIS3L2,SMCO1,0.0017196146778652,0.961805879923987,0.0169125722292151
DIS3L2,SMCO4,0.0002376288971982,0.994720082985639,0.0022991137444134
DIS3L2,SMG6,0.0031119437867956,0.9309409700890132,0.0310778562661096
DIS3L2,SMIM9,0.0034902195345642,0.9225713449891264,0.0350000386789393
DIS3L2,SMPD3,-0.0031628083408826,0.9298150907456144,0.0316034095678982
DIS3L2,SNF8,0.0011119489748318,0.9752971761749548,0.0108630332161911
