SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE,LOGPVALUE
DIS3L2,KLHL40,-0.051662592727607176,0.14996610638867236,0.8240068840886308
DIS3L2,KLHL41,-0.04416825490568402,0.21847644920672712,0.6605953711915387
DIS3L2,KLHL42,0.06267492125948539,0.08062402741287975,1.0935355113243308
DIS3L2,KLHL5,0.030798143119237634,0.3909674857780681,0.4078593585486791
DIS3L2,KLHL6,0.07200915706090161,0.04465349500615461,1.3501445434387163
DIS3L2,KLHL7,0.021923471320364804,0.5414684561893063,0.26642683858057836
DIS3L2,KLHL8,0.016343076035317147,0.6490019272295158,0.18775401354801086
DIS3L2,KLHL9,-0.01044715038610674,0.7710986378346031,0.11289006406670991
DIS3L2,KLK1,0.042861183789360664,0.23242375207168506,0.63371949217427
DIS3L2,KLK10,-0.06876750520714182,0.05520058432340954,1.258056325040923
DIS3L2,KLK11,-0.10140096003708719,0.004638905956272947,2.333584431767878
DIS3L2,KLK12,0.06588891706585538,0.06623086506045509,1.1789395724704206
DIS3L2,KLK13,0.009269506624260392,0.7962981325136449,0.09892430278431916
DIS3L2,KLK14,0.04281256593299141,0.23295443097221397,0.6327290245225617
DIS3L2,KLK15,-0.034789170587246426,0.3324976209833419,0.4782114577217885
DIS3L2,KLK2,-0.005486064034903104,0.878574938138427,0.05622118939692804
DIS3L2,KLK3,-0.07939246865677413,0.02680112948458445,1.5718469030388957
DIS3L2,KLK4,0.03488651104053237,0.3311458108092512,0.47998073466490726
DIS3L2,KLK5,0.014840186752787966,0.6793946217097003,0.16787789545693063
DIS3L2,KLK6,0.04075315118089716,0.25622558756141856,0.5913775022968631
DIS3L2,KLK7,0.028746709968987698,0.42330638035620394,0.3733451855004546
DIS3L2,KLK8,-0.007571258910816204,0.8330074794997052,0.07935109908436942
DIS3L2,KLK9,0.0061261847995485895,0.8645364173270943,0.06321670798741151
DIS3L2,KLKB1,0.022917500307100533,0.5232876040517457,0.28125955296468785
DIS3L2,KLLN,0.026580535853877908,0.45909350429044354,0.33809885201893636
DIS3L2,KLRB1,0.01734276053661263,0.6290999163689612,0.20128037254905995
DIS3L2,KLRC1,-0.061412528142462626,0.08692984477185407,1.0608310958814071
DIS3L2,KLRC2,0.002357816616110949,0.9476484353231386,0.02335275012741359
DIS3L2,KLRC3,-0.03300273960982071,0.35793646223919773,0.446194058685444
DIS3L2,KLRC4,0.10027256738549005,0.005119306738341682,2.2907888476370717
DIS3L2,KLRD1,0.02256022265985432,0.5297860680452603,0.275899466670388
DIS3L2,KLRF1,0.05840584221487891,0.10355368142408605,0.9848344569468104
DIS3L2,KLRF2,0.03239139951969062,0.36691553298169516,0.43543390245651964
DIS3L2,KLRG1,0.05267746641534535,0.1421120885356846,0.8473689779413195
DIS3L2,KLRG2,0.006600221843497199,0.8541674666566144,0.06845697390729699
DIS3L2,KLRK1,-0.011669085036430122,0.7452041920365923,0.12772471070918298
DIS3L2,KMO,-0.16145308203438105,6.01565963902293e-06,5.220716743738854
DIS3L2,KMT2A,0.011629792728852754,0.7460325690241808,0.1272422124217965
DIS3L2,KMT2B,-0.06728453853031785,0.06067550334273039,1.216986612226129
DIS3L2,KMT2C,-0.05147672290100725,0.15143967190785984,0.8197603399367608
DIS3L2,KMT2D,-0.0880402552396159,0.014029812097349978,1.8529481454812986
DIS3L2,KMT2E,0.048827401026616105,0.1736567487914996,0.7603083341156474
DIS3L2,KMT5A,0.04332623097080535,0.22739085357399472,0.643227008083775
DIS3L2,KMT5B,0.030361908123335057,0.39771597815164966,0.4004269609785665
DIS3L2,KMT5C,-0.036547968033041466,0.30862055551850026,0.5105751513417085
DIS3L2,KNCN,-0.050451599904054366,0.15976522286299066,0.7965177504439357
DIS3L2,KNDC1,-0.035438864938277685,0.32354231987777293,0.49006890483355514
DIS3L2,KNG1,-0.05952616596710309,0.09708669966996915,1.012840261910526
DIS3L2,KNL1,0.004914707649280726,0.8911377893002935,0.05005513939053996
DIS3L2,KNOP1,-0.01548156020649439,0.6663569177221774,0.1762930893329
DIS3L2,KNSTRN,0.03374992951137954,0.3471512724288049,0.45948123856587286
DIS3L2,KNTC1,0.052599029369318547,0.14270763366190303,0.845552795150452
DIS3L2,KPNA1,0.007938565336136667,0.8250339647073285,0.08352817219996272
DIS3L2,KPNA2,0.0048557156925168096,0.8924365006240391,0.049422675394667555
DIS3L2,KPNA3,0.022283995959743674,0.5348382201241165,0.27177756514247
