SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE,LOGPVALUE
DROSHA,PBXIP1,-0.0036261364666294506,0.9195661240652385,0.03641703610058731
DROSHA,PC,-0.008194744933336995,0.8194833929820456,0.0864598430810816
DROSHA,PCARE,-0.029872266228219056,0.40537355874114783,0.39214458240007893
DROSHA,PCBD1,0.05562190206505327,0.1211060037891377,0.9168343263213479
DROSHA,PCBD2,0.05703076189291079,0.11195313418989485,0.9509637436005993
DROSHA,PCBP1,-0.02397704430678363,0.5042586967777393,0.29734660292181603
DROSHA,PCBP2,0.05937281339161808,0.09795239191729657,1.0089849544237146
DROSHA,PCBP3,0.03379721822663991,0.3464757075089491,0.4603272097236216
DROSHA,PCBP4,-0.06419620776429462,0.07352313361389362,1.13357599125442
DROSHA,PCCA,0.08063575571392648,0.024500272683147445,1.6108290819976219
DROSHA,PCCB,0.06468049529177934,0.0713728127860229,1.1464671874608496
DROSHA,PCDH1,-0.01610265792148852,0.6538264938667738,0.18453748524384284
DROSHA,PCDH10,-0.023067824411886904,0.5205656386364542,0.28352450207980445
DROSHA,PCDH11X,0.04252203942520011,0.23614349770342963,0.626824008378192
DROSHA,PCDH12,0.021265841145787737,0.5536671609650388,0.25675123454227233
DROSHA,PCDH15,0.003087980847814413,0.9314714341204314,0.03083045927991873
DROSHA,PCDH17,-0.01308590850587025,0.7155373751066886,0.1453676765391942
DROSHA,PCDH18,-0.019325658139594016,0.5904200684592181,0.22883888920504453
DROSHA,PCDH19,0.026599496889416888,0.45877308453764526,0.3384020693663802
DROSHA,PCDH20,0.03491201337011274,0.33079223591444823,0.4804446924057155
DROSHA,PCDH7,-0.02948008156219452,0.41156995074836106,0.38555634115102194
DROSHA,PCDH8,0.08247214280026871,0.021414919186224738,1.669283560167383
DROSHA,PCDH9,0.04884170024190924,0.17353064032316903,0.7606238306805745
DROSHA,PCDHA1,0.01821083093812035,0.6120329470083335,0.2132251982485991
DROSHA,PCDHA10,0.09473467447968532,0.008190813367273012,2.086672969621875
DROSHA,PCDHA11,-0.038225061512781766,0.2869333157484261,0.5422190230133861
DROSHA,PCDHA12,0.014788711577833053,0.6804452240361815,0.16720682983802632
DROSHA,PCDHA13,-0.021814199702047777,0.5434860758969102,0.2648115780516531
DROSHA,PCDHA2,-0.04631398298591586,0.19689959797245613,0.7057551705989165
