SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE,LOGPVALUE
DICER1,POM121,-0.0867680816659794,0.01548351880612,1.810130334065436
DICER1,POM121C,-0.0743423578366855,0.0381591811225379,1.4184009536162383
DICER1,POP4,0.1160498847336415,0.0011840423432257,2.926632766278245
DICER1,POP5,0.0814393368289088,0.023105783144511,1.6362793069732051
DICER1,POP7,0.1156016423512154,0.0012375261349928,2.907445620545234
DICER1,POT1,0.0839591019643125,0.0191697618990722,1.7173832813087513
DICER1,POTEC,-0.0752963610007221,0.0357446977246774,1.4467883711970977
DICER1,POTEE,-0.0814633831003503,0.0230651369688241,1.6370439620560224
DICER1,POTEI,-0.0922279820630615,0.0100578454549501,1.9974950418686035
DICER1,POU2AF1,0.1330253865384983,0.0001984245005102,3.7024047042610926
DICER1,POU3F3,-0.1126846969763913,0.0016436188237674,2.7841988935652475
DICER1,POU3F4,-0.0895776632608564,0.0124344929697425,1.9053719188727247
DICER1,POU6F1,0.0734249798150163,0.0406101272026494,1.3913656501720604
DICER1,PPA1,0.109062008076877,0.0023173178269247,2.6350143973651607
DICER1,PPARGC1B,-0.0844282934767486,0.0185053137237826,1.7327035478370283
DICER1,PPCS,0.1092151939435119,0.0022843576460918,2.64123590061684
DICER1,PPDPFL,0.0838791148697244,0.019285088907043,1.7147783546330873
DICER1,PPIC,0.0897388006227713,0.0122769472791797,1.9109096091414364
DICER1,PPIL4,0.0703262430683931,0.0498953959318453,1.301939526794313
DICER1,PPM1H,-0.1208219988571474,0.0007327949203034,3.135017549836688
DICER1,PPP1CB,0.0778455643023216,0.0299218470364887,1.5240116015496763
DICER1,PPP1CC,0.0748864805904451,0.0367656445922537,1.4345578153741445
DICER1,PPP1R13L,-0.0864899209070806,0.0158184575465946,1.8008358667082118
DICER1,PPP1R35,0.0750026000380206,0.0364739231119692,1.4380175217356346
DICER1,PPP1R3B,0.0723112817130448,0.0437633361188165,1.3588895787503177
DICER1,PPP2R2C,0.0780620617323843,0.0294671405582801,1.5306620053109616
DICER1,PPP2R3A,0.1133515666989067,0.0015412422719694,2.81212908801142
DICER1,PPP2R3C,0.1501212716681683,2.6178046332953183e-05,4.582062767963936
DICER1,PPP2R5D,-0.0765285184127295,0.0328197240960484,1.483865074229524
DICER1,PPP3CA,-0.0923548551957474,0.0099549532167612,2.001960776595905
DICER1,PPP4R3A,-0.0827079991732871,0.0210442255603434,1.6768670519096869
DICER1,PPRC1,0.0868995978324464,0.0153273380956139,1.814533262677669
DICER1,PQBP1,-0.0933296629649902,0.0091951180900832,2.036442688879173
DICER1,PQLC2,0.0839139136473859,0.0192348411646692,1.7159113956109988
DICER1,PRAF2,-0.1286688778872477,0.0003205354769191,3.494123895700382
DICER1,PRB1,-0.0769536128335814,0.0318592370628984,1.4967646285141876
DICER1,PRDM11,-0.0883301468242297,0.0137158837603978,1.8627762041076703
DICER1,PRDM9,0.0726984404033072,0.0426445444284416,1.3701365207959268
DICER1,PRDX2,0.0853699561584791,0.0172322284124921,1.7636585574521124
DICER1,PRDX4,-0.0902189955691497,0.0118178730474258,1.9274606797056968
DICER1,PRIMPOL,0.0708700924413272,0.0481478067076403,1.3174234916435847
DICER1,PRKACA,-0.0966848888289996,0.006959274560362,2.15743602919
DICER1,PRKACG,-0.0917308023848367,0.0104702191724347,1.980044227167125
DICER1,PRKAG2,0.0797853157433536,0.0260547783515586,1.584112617032029
DICER1,PRKD3,0.0958745234350317,0.0074492938451486,2.127884894190049
DICER1,PRMT3,0.0710279163482858,0.0476503742278107,1.321933684229538
DICER1,PRMT5,0.1055206448095386,0.003211341807579,2.493313466702227
DICER1,PRMT9,0.0820970229429092,0.0220161841338835,1.6572579511773622
DICER1,PROP1,0.0703654121506525,0.0497677815265618,1.3030517181518215
DICER1,PROZ,-0.0708761377511946,0.0481286730956873,1.31759611162754
DICER1,PRPS1,-0.1230032774644082,0.0005850846347503,3.2327813070008182
DICER1,PRPS2,-0.0710011067239118,0.0477345680387201,1.3211670031137226
DICER1,PRR35,-0.0714843579648989,0.0462359613575994,1.3350201079073725
DICER1,PRR5,0.0726509869808176,0.0427803616669128,1.368755548205805
DICER1,PRRG1,-0.0897889378974486,0.0122282888778631,1.9126343101667544
DICER1,PRSS23,-0.071588204987865,0.0459191366073313,1.3380062863373663
DICER1,PRSS3,0.0817086341928857,0.0226541083390845,1.6448530268874055
DICER1,PRSS48,0.0793421693217576,0.0268980087217882,1.5702798699287976
DICER1,PRSS55,0.0901953546262632,0.0118401134754821,1.9266441353209047
DICER1,PSAP,-0.0938110690396078,0.0088392883197655,2.0535827000594216
DICER1,PSIP1,0.0822928322265147,0.0217005250488363,1.6635297581766415
DICER1,PSKH2,-0.0834962386777156,0.0198455478343617,1.702336907935634
DICER1,PSMB10,-0.0927168989822083,0.0096664677610337,2.014732193149072
DICER1,PSMC1,0.0937894296847768,0.0088550155583704,2.0528106714125265
DICER1,PSMC3,-0.092844538924551,0.0095665487266806,2.019244712097258
DICER1,PSMC6,0.1041499369087364,0.0036344654843854,2.4395594511738774
DICER1,PSMD5,-0.1053458038679469,0.0032626988445163,2.4864230108583727
DICER1,PSMD9,-0.1166187540308003,0.0011192350236395,2.9510787081522065
DICER1,PSME1,-0.1025133132512155,0.0042055923249224,2.3761728285630763
DICER1,PSMG2,0.1006016540980991,0.0049747636058231,2.303227551526453
DICER1,PSORS1C1,0.0849471734555371,0.0177940056762714,1.7497262752281904
DICER1,PSTK,0.1119720473849092,0.0017598982472284,2.7545124412453124
DICER1,PTAFR,0.0830245360840713,0.0205555044999492,1.6870718597323136
DICER1,PTEN,-0.1766412513458447,7.118265315369394e-07,6.147625828800071
DICER1,PTGER2,-0.0964938799760176,0.0070720977876586,2.1504517428554304
DICER1,PTGES2,-0.079781666588953,0.0260616278303553,1.5839984613915934
DICER1,PTK2,0.0912435441790645,0.0108888608156361,1.9630175534271403
DICER1,PTMA,0.0765496519456187,0.0327713955963106,1.484505063443048
DICER1,PTMS,-0.0822468874228753,0.0217742363148559,1.662057068010776
DICER1,PTP4A1,0.0703219211939824,0.0499094935279527,1.3018168372493135
DICER1,PTPN12,-0.1307837626817847,0.0002544272135232,3.594436438420985
DICER1,PTPN14,-0.1319805319541588,0.0002229111558634,3.651868196173436
DICER1,PTPRF,0.0859910669502702,0.0164350913392823,1.784227877950712
